Title ID HEX	Title ID DEC	Serial Number	Title Name	Publisher	Region	Rating	Version	Media Type	Init Flags	Entry Point	Cert Timestamp	MD5 Checksum
0x54530002	1414725634	TS-002	Barbarian	Titus Interactive	(4) PAL	(0) RP - ALL	0x00000002	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F1CF5F) Retail	Tue Aug 06 19:54:32 2002	4A52592D44557E4D386C465D880F31BD
0x5655002A	1448411178	VU-042	Barbie(tm) Horse	Vivendi Universal Games	(3) Japan + USA / Canada	(4) E - Everyone	0x00000005	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F2F1A4) Retail	Sat Oct 04 06:47:49 2003	A0976F2BAAFD48598568771AD4F229BF
0x45410389	1161888649	EA-905	Batman Begins™	Electronic Arts (EA)	(1) USA / Canada	(3) T - Teen	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DA7010) Retail	Fri May 13 05:54:59 2005	65CEBD8BA2FE9C788B1C2E8EB0F2942F
0x4B420001	1262616577	KB-001	Batman Dark Tomorrow	Kemco	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DFFEA2) Retail	Sat Feb 08 08:41:49 2003	A9327E64C8C368FF53D005902D544135
0x5553001C	1431502876	US-028	Batman: Rise of Sin Tzu	Ubisoft	(3) Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x80000005) Unused high bit (8)? + 64MB RAM limit + Mount Utility Drive	(0xA8F802E7) Retail	Thu Sep 25 05:45:01 2003	095F15D0FAF0357F2B78EE0B2C62BA70
0x49470010	1229389840	IG-016	Battle Engine Aquila	Infogrames	(1) USA / Canada	(3) T - Teen	0x00000002	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F88BC5) Retail	Thu Sep 12 06:37:35 2002	8F2113E729EB599072B4D124A670A47A
0x45410062	1161887842	EA-098	Battlefield 2 : Modern Combat	Electronic Arts (EA)	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000001) Mount Utility Drive	(0xA8FD475F) Retail	Thu Oct 06 04:23:42 2005	CF3C5506CD7F04CA3BA99D76BB340318
0x5655000F	1448411151	VU-015	Battlestar Galactica	Vivendi Universal Games	(3) Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F12EA5) Retail	Fri Oct 10 06:22:43 2003	674189CE21FD5018326DCB18F548FBA6
0x43430015	1128464405	CC-021	BeatDown - Fists of Vengeance	Capcom	(1) USA / Canada	(2) M - Mature	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8D57727) Retail	Thu Aug 04 05:48:17 2005	8D6CA1EE55A55A0F1736FB38852B89A1
0x55530018	1431502872	US-024	Beyond Good & Evil	Ubisoft	(3) Japan + USA / Canada	(3) T - Teen	0x00000002	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8A8BBF2) Retail	Thu Nov 20 06:29:28 2003	573C4FFC6E2BFD74CE06E96616DE6FC1
